date,open,high,low,close,volume,ma5,ma20,ma60,ma120,label,qty,order_price,order_type,stock_code,chart_return_pct
2008-01-04,9880,9940,9670,9680,83094,9684,9928,11081.333333333334,14029,BUY,1033,9680,시장가,000990,8.99
2008-01-07,9500,9550,9270,9270,168694,9608,9866.5,11002.5,13949.583333333334,HOLD,0,,,000990,8.99
2008-01-08,9230,9270,9040,9100,113483,9500,9796.5,10926.666666666666,13869.166666666666,HOLD,0,,,000990,8.99
2008-01-09,9020,9230,8940,9100,82029,9394,9726.5,10854.166666666666,13792.083333333334,HOLD,0,,,000990,8.99
2008-01-10,9130,9270,9000,9000,49140,9230,9666.5,10787.5,13714.166666666666,HOLD,0,,,000990,8.99
2008-01-11,9000,9080,8700,8700,101766,9034,9606,10719.166666666666,13635,HOLD,0,,,000990,8.99
2008-01-14,8610,8700,8020,8210,245962,8822,9528.5,10654.333333333334,13556.75,HOLD,0,,,000990,8.99
2008-01-15,8290,9150,8290,8490,249365,8700,9453,10590,13483.333333333334,HOLD,0,,,000990,8.99
2008-01-16,8490,8640,8310,8480,76125,8576,9387.5,10519.666666666666,13399.416666666666,HOLD,0,,,000990,8.99
2008-01-17,8550,8800,8170,8170,161314,8410,9296,10447.5,13315.833333333334,HOLD,0,,,000990,8.99
2008-01-18,8100,8300,8040,8280,70030,8326,9219,10392.166666666666,13234.833333333334,HOLD,0,,,000990,8.99
2008-01-21,8280,8400,8000,8000,106014,8284,9121,10331.333333333334,13144.833333333334,HOLD,0,,,000990,8.99
2008-01-22,7930,7930,7210,7320,262879,8050,8996,10260,13038.333333333334,HOLD,0,,,000990,8.99
2008-01-23,7350,7580,7100,7190,152935,7792,8865.5,10186.5,12936.166666666666,HOLD,0,,,000990,8.99
2008-01-24,7350,7470,7270,7370,103215,7632,8741,10102.666666666666,12843.416666666666,HOLD,0,,,000990,8.99
2008-01-25,7490,7530,7310,7460,78926,7468,8628,10012.833333333334,12755.583333333334,HOLD,0,,,000990,8.99
2008-01-28,7340,7340,7030,7160,116214,7300,8503.5,9921.333333333334,12664.416666666666,HOLD,0,,,000990,8.99
2008-01-29,7180,7240,7030,7140,68726,7264,8378.5,9832,12579.75,HOLD,0,,,000990,8.99
2008-01-30,7160,7350,6820,6910,112820,7208,8242.5,9738,12493.166666666666,HOLD,0,,,000990,8.99
2008-01-31,6800,7070,6800,7000,42236,7134,8101.5,9653,12406.916666666666,HOLD,0,,,000990,8.99
2008-02-01,7010,7260,6910,7190,61270,7080,7977,9566.166666666666,12323.916666666666,HOLD,0,,,000990,8.99
2008-02-04,7270,7410,7250,7300,65198,7108,7878.5,9481.166666666666,12241.833333333334,HOLD,0,,,000990,8.99
2008-02-05,7240,7330,7180,7330,43377,7146,7790,9394.166666666666,12155.416666666666,HOLD,0,,,000990,8.99
2008-02-11,7130,7210,7070,7150,35567,7194,7692.5,9316.666666666666,12066.25,HOLD,0,,,000990,8.99
2008-02-12,7170,7350,7090,7330,50315,7260,7609,9242.166666666666,11984.833333333334,HOLD,0,,,000990,8.99
2008-02-13,7420,8050,7330,7780,206071,7378,7563,9176.833333333334,11905.916666666666,HOLD,0,,,000990,8.99
2008-02-14,7940,7940,7550,7800,75781,7478,7542.5,9116.833333333334,11829.25,HOLD,0,,,000990,8.99
2008-02-15,7800,7800,7600,7740,53836,7560,7505,9051.666666666666,11766.666666666666,HOLD,0,,,000990,8.99
2008-02-18,7680,7890,7680,7810,45367,7692,7471.5,8991.833333333334,11706.333333333334,HOLD,0,,,000990,8.99
2008-02-19,7810,8250,7770,8230,92576,7872,7474.5,8939,11644.083333333334,HOLD,0,,,000990,8.99
2008-02-20,8280,8740,8100,8200,285903,7956,7470.5,8901.5,11581.583333333334,HOLD,0,,,000990,8.99
2008-02-21,8250,8490,8150,8190,89670,8034,7480,8869.666666666666,11514.833333333334,HOLD,0,,,000990,8.99
2008-02-22,8160,8190,7850,7910,108561,8068,7509.5,8836.833333333334,11443.25,HOLD,0,,,000990,8.99
2008-02-25,8130,8360,8040,8040,123801,8114,7552,8809.166666666666,11372.75,HOLD,0,,,000990,8.99
2008-02-26,8170,8170,8000,8090,64412,8086,7588,8787.666666666666,11303.083333333334,HOLD,0,,,000990,8.99
2008-02-27,8190,8650,8190,8400,320956,8126,7635,8770,11236,HOLD,0,,,000990,8.99
2008-02-28,8550,8670,8330,8560,285973,8200,7705,8756,11165.666666666666,HOLD,0,,,000990,8.99
2008-02-29,8560,9160,8450,8900,362523,8398,7793,8737.666666666666,11098.166666666666,HOLD,0,,,000990,8.99
2008-03-03,8850,10200,8730,10200,802750,8830,7957.5,8731,11040.666666666666,HOLD,0,,,000990,8.99
2008-03-04,10400,10700,9850,10550,1028567,9322,8135,8729.333333333334,10986.916666666666,SELL,1033,10550,시장가,000990,8.99
