date,open,high,low,close,volume,ma5,ma20,ma60,ma120,label,qty,order_price,order_type,stock_code,chart_return_pct
2017-03-03,51500,51500,48500,48900,635910,52100,53770,51290,50984.166666666664,BUY,202,48900,시장가,204320,1.02
2017-03-06,48100,48500,47000,48000,618390,50880,53675,51303.333333333336,50935.833333333336,HOLD,0,,,204320,1.02
2017-03-07,48000,50300,47300,49500,427775,50180,53735,51363.333333333336,50903.333333333336,HOLD,0,,,204320,1.02
2017-03-08,49800,51000,48800,49400,331680,49440,53610,51395,50887.5,SELL,202,49400,시장가,204320,1.02
