date,open,high,low,close,volume,ma5,ma20,ma60,ma120,label,qty,order_price,order_type,stock_code,chart_return_pct
2018-12-20,49583.33203125,51000,48333.33203125,50166.66796875,114792,48500,49570.8337890625,53712.50013020833,52461.11126302083,BUY,199,50166.66796875,시장가,192080,-29.65
2018-12-21,50000,51500,49583.33203125,50916.66796875,92764,49233.33359375,49629.1671875,53575.00013020833,52508.33349609375,HOLD,0,,,192080,-29.65
2018-12-24,50583.33203125,51333.33203125,50083.33203125,50833.33203125,41644,49850,49683.3337890625,53466.666796875,52559.0279296875,HOLD,0,,,192080,-29.65
2018-12-26,49833.33203125,50833.33203125,49416.66796875,50750,60014,50600,49612.500390625,53354.166796875,52624.30569661458,HOLD,0,,,192080,-29.65
2018-12-27,51166.66796875,51416.66796875,49416.66796875,49416.66796875,60043,50416.6671875,49483.3337890625,53225.00013020833,52669.444596354166,HOLD,0,,,192080,-29.65
2018-12-28,49833.33203125,50250,48500,49833.33203125,66932,50350,49404.1669921875,53097.222330729164,52714.58346354167,HOLD,0,,,192080,-29.65
2019-01-02,50333.33203125,50416.66796875,47500,47583.33203125,105103,49683.3328125,49245.83359375,52905.5556640625,52738.888997395836,HOLD,0,,,192080,-29.65
2019-01-03,47666.66796875,48583.33203125,47166.66796875,47166.66796875,71532,48950,49020.83359375,52702.7779296875,52747.222330729164,HOLD,0,,,192080,-29.65
2019-01-04,46583.33203125,48333.33203125,46583.33203125,48000,60426,48400,48875.0001953125,52537.50013020833,52760.416764322916,HOLD,0,,,192080,-29.65
2019-01-07,48416.66796875,49000,47500,48083.33203125,69900,48133.3328125,48754.166796875,52377.77786458333,52777.77786458333,HOLD,0,,,192080,-29.65
2019-01-08,48083.33203125,48083.33203125,46750,46916.66796875,73478,47550,48600.0001953125,52245.83346354167,52800.69453125,HOLD,0,,,192080,-29.65
2019-01-09,47000,47916.66796875,46916.66796875,47333.33203125,62480,47500,48470.8333984375,52068.0556640625,52790.27786458333,HOLD,0,,,192080,-29.65
2019-01-10,47250,47333.33203125,46666.66796875,47083.33203125,86558,47483.3328125,48454.1666015625,51901.388997395836,52757.63896484375,HOLD,0,,,192080,-29.65
2019-01-11,46833.33203125,47083.33203125,45750,46250,159894,47133.3328125,48420.833203125,51693.0556640625,52715.27786458333,HOLD,0,,,192080,-29.65
2019-01-14,45916.66796875,46750,45666.66796875,45833.33203125,81745,46683.3328125,48354.16640625,51473.61119791667,52675.00006510417,HOLD,0,,,192080,-29.65
2019-01-15,45583.33203125,46166.66796875,45333.33203125,45750,84750,46449.99921875,48212.4998046875,51225.00006510417,52637.50006510417,SELL,99,45750,시장가,192080,-29.65
2019-01-16,45833.33203125,47500,45833.33203125,47083.33203125,103077,46399.99921875,48204.16640625,50988.888932291666,52625.694498697914,HOLD,0,,,192080,-29.65
2019-01-17,47416.66796875,47416.66796875,45916.66796875,46166.66796875,98690,46216.66640625,48124.9998046875,50748.61119791667,52602.0833984375,HOLD,0,,,192080,-29.65
2019-01-18,46250,46250,44583.33203125,45166.66796875,173088,46000,48033.333203125,50494.44453125,52593.05563151042,HOLD,0,,,192080,-29.65
2019-01-21,45166.66796875,45250,44666.66796875,44833.33203125,63327,45800,47758.333203125,50281.94453125,52591.666731770834,HOLD,0,,,192080,-29.65
2019-01-22,44666.66796875,45250,44333.33203125,45083.33203125,81886,45666.66640625,47504.16640625,50063.888932291666,52589.5833984375,HOLD,0,,,192080,-29.65
2019-01-23,44750,45500,44666.66796875,45000,100500,45250,47208.3330078125,49873.6111328125,52577.0833984375,HOLD,0,,,192080,-29.65
2019-01-24,45000,45083.33203125,44333.33203125,44583.33203125,63908,44933.3328125,46895.8330078125,49694.44446614583,52574.30559895833,HOLD,0,,,192080,-29.65
