date,open,high,low,close,volume,ma5,ma20,ma60,ma120,label,qty,order_price,order_type,stock_code,chart_return_pct
2001-03-16,2850,3010,2850,2945,164800,2937,3127,2973.25,2803.5833333333335,BUY,1697,2945,시장가,028050,7.22
2001-03-19,2855,2975,2855,2925,95100,2919,3110.25,2985.0833333333335,2804.125,HOLD,0,,,028050,7.22
2001-03-20,2975,3000,2945,2945,260200,2931,3091,2995.8333333333335,2804.8333333333335,HOLD,0,,,028050,7.22
2001-03-21,2890,2945,2890,2910,105600,2936,3071,3006,2804.0833333333335,HOLD,0,,,028050,7.22
2001-03-22,2890,2945,2870,2880,106400,2921,3056.25,3015.6666666666665,2803.3333333333335,HOLD,0,,,028050,7.22
2001-03-23,2900,2915,2865,2880,170500,2908,3041,3025.3333333333335,2801.0416666666665,HOLD,0,,,028050,7.22
2001-03-26,2910,2960,2910,2940,213300,2911,3023.5,3036,2800.5416666666665,HOLD,0,,,028050,7.22
2001-03-27,2900,2955,2875,2880,98900,2898,3004.75,3042.8333333333335,2799.7916666666665,HOLD,0,,,028050,7.22
2001-03-28,2930,2930,2850,2850,251600,2886,2982.5,3050,2798.875,HOLD,0,,,028050,7.22
2001-03-29,2830,2860,2820,2840,109200,2878,2959.75,3052.3333333333335,2798.2916666666665,HOLD,0,,,028050,7.22
2001-03-30,2825,2900,2740,2770,140500,2856,2942.75,3046.8333333333335,2798.625,HOLD,0,,,028050,7.22
2001-04-02,2755,2785,2680,2720,145200,2812,2926.75,3042.4166666666665,2798.5416666666665,SELL,848,2720,시장가,028050,7.22
2001-04-03,2680,2680,2610,2670,201200,2770,2908.25,3036.1666666666665,2798.7083333333335,HOLD,0,,,028050,7.22
2001-04-04,2620,2675,2605,2640,135400,2728,2888.75,3036.8333333333335,2798.5,HOLD,0,,,028050,7.22
2001-04-05,2640,2640,2640,2640,0,2688,2866.25,3032.5,2798.25,HOLD,0,,,028050,7.22
2001-04-06,2780,2780,2655,2700,145900,2674,2843.75,3029.6666666666665,2798,HOLD,0,,,028050,7.22
2001-04-09,2650,2700,2645,2665,78800,2663,2826.25,3025.75,2798.2916666666665,HOLD,0,,,028050,7.22
2001-04-10,2680,2700,2640,2650,105700,2659,2814.5,3022.4166666666665,2798.2916666666665,HOLD,0,,,028050,7.22
2001-04-11,2700,2705,2660,2670,103900,2665,2803.75,3020.0833333333335,2798.5833333333335,HOLD,0,,,028050,7.22
2001-04-12,2675,2725,2650,2680,220000,2673,2790,3017.25,2799.4166666666665,HOLD,0,,,028050,7.22
2001-04-13,2710,2710,2670,2710,226300,2675,2778.25,3012.4166666666665,2800.5,HOLD,0,,,028050,7.22
2001-04-16,2695,2725,2680,2690,167200,2680,2766.5,3001.0833333333335,2802.25,HOLD,0,,,028050,7.22
2001-04-17,2690,2900,2680,2800,863900,2710,2759.25,2991.5833333333335,2805.25,HOLD,0,,,028050,7.22
2001-04-18,2810,2930,2800,2910,607600,2758,2759.25,2983.9166666666665,2807.6666666666665,HOLD,0,,,028050,7.22
2001-04-19,2980,3040,2850,2890,691600,2800,2759.75,2975.9166666666665,2809.25,HOLD,0,,,028050,7.22
2001-04-20,2910,2950,2870,2880,330900,2834,2759.75,2972.75,2810.6666666666665,HOLD,0,,,028050,7.22
2001-04-23,2860,2920,2860,2900,294900,2876,2757.75,2967.9166666666665,2811.5,HOLD,0,,,028050,7.22
