date,open,high,low,close,volume,ma5,ma20,ma60,ma120,label,qty,order_price,order_type,stock_code,chart_return_pct
2023-03-17,6720,7080,6720,7030,73571,6780,7097,6471.666666666667,5793.625,BUY,357,7030,시장가,204270,4.20
2023-03-20,6960,7230,6880,6940,61084,6782,7069.5,6485.833333333333,5811.541666666667,HOLD,0,,,204270,4.20
2023-03-21,7020,7100,6730,6730,52444,6790,7031.5,6496.666666666667,5829.25,HOLD,0,,,204270,4.20
2023-03-22,6730,6880,6650,6880,68700,6856,7005.5,6509.333333333333,5848.208333333333,HOLD,0,,,204270,4.20
2023-03-23,7210,7790,7020,7630,497522,7042,7028,6538.166666666667,5873.916666666667,HOLD,0,,,204270,4.20
2023-03-24,7600,7930,7500,7690,275382,7174,7054.5,6568.333333333333,5900.541666666667,HOLD,0,,,204270,4.20
2023-03-27,7720,7750,7320,7370,114928,7260,7079,6593.333333333333,5924.791666666667,HOLD,0,,,204270,4.20
2023-03-28,7370,7680,7300,7530,100575,7420,7124.5,6619.5,5949.666666666667,HOLD,0,,,204270,4.20
2023-03-29,7530,7530,7240,7390,87935,7522,7160,6644.5,5972.625,HOLD,0,,,204270,4.20
2023-03-30,7940,8010,7480,7620,216811,7520,7177,6673.333333333333,5996.708333333333,SELL,357,7620,시장가,204270,4.20
2023-03-31,7710,7880,6990,7420,181559,7466,7185.5,6698.5,6019.083333333333,HOLD,0,,,204270,4.20
2023-04-03,7390,7450,7090,7380,136595,7468,7205,6721.5,6042.166666666667,HOLD,0,,,204270,4.20
2023-04-04,7420,7420,7150,7270,78129,7416,7196,6742.166666666667,6064.416666666667,HOLD,0,,,204270,4.20
2023-04-05,7250,7430,7140,7340,91059,7406,7167.5,6763.666666666667,6087.291666666667,HOLD,0,,,204270,4.20
2023-04-06,7340,7650,7170,7640,143168,7410,7183,6789.666666666667,6112.166666666667,HOLD,0,,,204270,4.20
2023-04-07,7700,7890,7580,7670,158698,7460,7220,6816.166666666667,6137.583333333333,HOLD,0,,,204270,4.20
2023-04-10,8300,8310,7550,7760,589080,7536,7261.5,6844.666666666667,6163.083333333333,HOLD,0,,,204270,4.20
2023-04-11,7690,8140,7220,8000,275405,7682,7327,6879.5,6190.708333333333,HOLD,0,,,204270,4.20
2023-04-12,7920,8100,7810,7950,122347,7804,7397,6914.333333333333,6218.083333333333,HOLD,0,,,204270,4.20
2023-04-13,7950,8530,7850,8250,525874,7926,7474.5,6958.666666666667,6248,HOLD,0,,,204270,4.20
2023-04-14,8250,8480,8070,8070,152082,8006,7526.5,6999,6276.416666666667,HOLD,0,,,204270,4.20
2023-04-17,8230,8640,7950,8540,178532,8162,7606.5,7047.5,6308.833333333333,HOLD,0,,,204270,4.20
2023-04-18,8410,9010,8400,8860,328143,8334,7713,7101.166666666667,6343.833333333333,HOLD,0,,,204270,4.20
2023-04-19,8900,8950,8670,8750,135899,8494,7806.5,7149.5,6377.75,HOLD,0,,,204270,4.20
2023-04-20,8610,8800,8260,8490,140608,8542,7849.5,7193.333333333333,6409.458333333333,HOLD,0,,,204270,4.20
2023-04-21,8480,8500,8160,8260,114351,8580,7878,7234.333333333333,6439.333333333333,HOLD,0,,,204270,4.20
2023-04-24,8250,8250,8030,8160,67814,8504,7917.5,7274.666666666667,6468.375,HOLD,0,,,204270,4.20
2023-04-25,8160,8290,7830,7970,140666,8326,7939.5,7312.666666666667,6495.708333333333,BUY,357,7970,시장가,204270,4.20
2023-04-26,7970,8110,7870,7960,48179,8168,7968,7350.666666666667,6523.125,HOLD,0,,,204270,4.20
2023-04-27,8030,8430,7880,8400,91738,8150,8007,7386.5,6554.208333333333,HOLD,0,,,204270,4.20
2023-04-28,8430,8430,8090,8230,54326,8144,8047.5,7416,6583.791666666667,HOLD,0,,,204270,4.20
2023-05-02,8150,8280,8000,8000,86720,8112,8078.5,7440.166666666667,6611.333333333333,HOLD,0,,,204270,4.20
2023-05-03,8030,8070,7880,8010,44325,8120,8115.5,7466.833333333333,6638.125,HOLD,0,,,204270,4.20
2023-05-04,7990,8090,7790,8080,61550,8144,8152.5,7488.166666666667,6664.541666666667,HOLD,0,,,204270,4.20
2023-05-08,8190,8510,8090,8410,130910,8146,8191,7512.5,6693.083333333333,HOLD,0,,,204270,4.20
2023-05-09,8820,8890,8570,8760,280681,8252,8245.5,7539.166666666667,6723.416666666667,HOLD,0,,,204270,4.20
2023-05-10,8760,8920,8610,8860,105531,8424,8300.5,7570.333333333333,6755.083333333333,SELL,357,8860,시장가,204270,4.20
