date,open,high,low,close,volume,ma5,ma20,ma60,ma120,label,qty,order_price,order_type,stock_code,chart_return_pct
2025-02-28,127100,131300,126200,126700,250614,131860,153190,154675,138878.33333333334,BUY,61,126700,시장가,443060,-6.31
2025-03-04,126800,134000,126800,133200,314301,131280,151375,154695,139127.5,HOLD,0,,,443060,-6.31
2025-03-05,134100,141400,132800,140500,483472,132540,149700,154815,139436.66666666666,HOLD,0,,,443060,-6.31
2025-03-06,142500,146500,141300,145000,282374,135020,148485,155058.33333333334,139777.5,HOLD,0,,,443060,-6.31
2025-03-07,147000,152300,142700,143900,386597,137860,147430,155243.33333333334,140085.83333333334,HOLD,0,,,443060,-6.31
2025-03-10,142400,148100,138500,145000,194857,141520,146255,155381.66666666666,140385.83333333334,HOLD,0,,,443060,-6.31
2025-03-11,139600,143300,137800,138300,151921,142540,145315,155573.33333333334,140655,SELL,61,138300,시장가,443060,-6.31
2025-03-12,139000,145200,138500,139800,175331,142400,144405,155786.66666666666,140958.33333333334,HOLD,0,,,443060,-6.31
2025-03-13,141600,144700,139100,139700,110964,141340,143260,156046.66666666666,141265,HOLD,0,,,443060,-6.31
2025-03-14,139500,143600,137000,142700,121059,141100,142565,156280,141606.66666666666,HOLD,0,,,443060,-6.31
2025-03-17,144600,148300,142900,147800,156126,141660,142040,156470,142002.5,HOLD,0,,,443060,-6.31
2025-03-18,150000,155600,147900,155500,301388,145100,141870,156771.66666666666,142464.16666666666,HOLD,0,,,443060,-6.31
2025-03-19,153500,156400,149100,149100,131291,146960,141550,156895,142817.5,HOLD,0,,,443060,-6.31
2025-03-20,150600,150700,142800,143300,109574,147680,140590,156866.66666666666,143132.5,HOLD,0,,,443060,-6.31
2025-03-21,140000,145700,140000,142700,108936,147680,140445,156826.66666666666,143433.33333333334,HOLD,0,,,443060,-6.31
2025-03-24,142700,142700,140600,140700,53105,146260,140325,156680,143699.16666666666,HOLD,0,,,443060,-6.31
2025-03-25,141500,146000,141500,144500,96450,144060,140745,156593.33333333334,143979.16666666666,HOLD,0,,,443060,-6.31
2025-03-26,144500,144500,140600,141900,68682,142620,141130,156258.33333333334,144247.5,HOLD,0,,,443060,-6.31
2025-03-27,141900,142000,137500,137500,88638,141460,141375,155935,144485,HOLD,0,,,443060,-6.31
2025-03-28,137500,140900,134000,139400,112845,140800,141860,155590,144727.5,HOLD,0,,,443060,-6.31
2025-03-31,135700,140600,133600,133800,80541,139420,142215,155150,144956.66666666666,HOLD,0,,,443060,-6.31
2025-04-01,135000,140000,135000,139100,100274,138340,142510,154785,145251.66666666666,HOLD,0,,,443060,-6.31
2025-04-02,140600,147900,139600,147900,122966,139540,142880,154560,145620,HOLD,0,,,443060,-6.31
2025-04-03,146500,149500,141600,148700,81589,141780,143065,154456.66666666666,145990,HOLD,0,,,443060,-6.31
2025-04-04,145700,150700,145000,147600,79051,143420,143250,154383.33333333334,146344.16666666666,HOLD,0,,,443060,-6.31
2025-04-07,142500,143200,138000,138100,68855,144280,142905,154198.33333333334,146613.33333333334,HOLD,0,,,443060,-6.31
2025-04-08,141900,143600,140000,142400,72751,144940,143110,153923.33333333334,146909.16666666666,HOLD,0,,,443060,-6.31
2025-04-09,144700,146900,135300,135900,59195,142540,142915,153466.66666666666,147139.16666666666,HOLD,0,,,443060,-6.31
2025-04-10,143100,148500,142000,147900,85636,142380,143325,153171.66666666666,147436.66666666666,HOLD,0,,,443060,-6.31
2025-04-11,149800,158400,149000,156700,188198,144200,144025,152991.66666666666,147802.5,HOLD,0,,,443060,-6.31
2025-04-14,163400,168800,158900,167500,218242,150080,145010,152950,148250,HOLD,0,,,443060,-6.31
2025-04-15,163700,168100,161800,165300,103384,154660,145500,152788.33333333334,148621.66666666666,HOLD,0,,,443060,-6.31
2025-04-16,166300,169900,162400,165300,129671,160540,146310,152633.33333333334,148982.5,HOLD,0,,,443060,-6.31
2025-04-17,165500,168500,163700,166800,84014,164320,147485,152481.66666666666,149339.16666666666,HOLD,0,,,443060,-6.31
2025-04-18,169600,173900,166100,171500,127299,167280,148925,152338.33333333334,149734.16666666666,HOLD,0,,,443060,-6.31
2025-04-21,170700,170700,159100,159200,117993,165620,149850,151841.66666666666,150003.33333333334,HOLD,0,,,443060,-6.31
2025-04-22,155700,163500,155700,161200,84830,164800,150685,151408.33333333334,150291.66666666666,HOLD,0,,,443060,-6.31
2025-04-23,162600,163300,160200,162500,41375,164240,151715,150833.33333333334,150527.5,HOLD,0,,,443060,-6.31
2025-04-24,162200,163300,154600,157200,129491,162320,152700,150548.33333333334,150716.66666666666,HOLD,0,,,443060,-6.31
2025-04-25,159000,164300,157200,158100,188989,159640,153635,150283.33333333334,150831.66666666666,HOLD,0,,,443060,-6.31
2025-04-28,159800,160300,151000,153200,174491,158440,154605,150003.33333333334,150903.33333333334,HOLD,0,,,443060,-6.31
2025-04-29,152900,153900,148000,152700,112148,156740,155285,149723.33333333334,151031.66666666666,HOLD,0,,,443060,-6.31
2025-04-30,153700,154200,150000,153000,64579,154840,155540,149373.33333333334,151190.83333333334,HOLD,0,,,443060,-6.31
2025-05-02,152300,153500,151800,153000,102418,154000,155755,149101.66666666666,151335.83333333334,HOLD,0,,,443060,-6.31
2025-05-07,155200,159600,155200,159600,124037,154300,156355,149011.66666666666,151510.83333333334,HOLD,0,,,443060,-6.31
2025-05-08,159600,174000,157400,173000,263126,158260,158100,149086.66666666666,151790.83333333334,HOLD,0,,,443060,-6.31
2025-05-09,165000,171700,158000,169800,429985,161680,159470,149298.33333333334,151950,HOLD,0,,,443060,-6.31
2025-05-12,171000,172900,161200,163200,194736,163720,160835,149385,152055.83333333334,HOLD,0,,,443060,-6.31
2025-05-13,160000,166000,158900,165000,139855,166120,161690,149425,152180,HOLD,0,,,443060,-6.31
2025-05-14,164000,169200,162500,167500,95883,167700,162230,149606.66666666666,152355,HOLD,0,,,443060,-6.31
2025-05-15,167500,168500,164000,166700,73529,166440,162190,149746.66666666666,152555,HOLD,0,,,443060,-6.31
2025-05-16,166200,168100,162100,163000,76839,165080,162075,149815,152625.83333333334,HOLD,0,,,443060,-6.31
2025-05-19,160800,167200,160100,165300,88246,165500,162075,149978.33333333334,152736.66666666666,HOLD,0,,,443060,-6.31
2025-05-20,165400,165600,159300,159400,138020,164380,161705,149926.66666666666,152841.66666666666,HOLD,0,,,443060,-6.31
2025-05-21,161000,167700,160500,164400,118549,163760,161350,150240,152978.33333333334,HOLD,0,,,443060,-6.31
2025-05-22,163500,163500,159700,160800,65566,162580,161430,150535,153040.83333333334,HOLD,0,,,443060,-6.31
2025-05-23,151300,162000,147900,160300,5064882,162040,161385,150938.33333333334,153176.66666666666,HOLD,0,,,443060,-6.31
2025-05-26,159700,170600,155200,169300,297162,162840,161725,151523.33333333334,153391.66666666666,HOLD,0,,,443060,-6.31
2025-05-27,171000,178000,167600,174600,508647,165880,162595,152223.33333333334,153622.5,HOLD,0,,,443060,-6.31
2025-05-28,175600,178200,170200,171700,250932,167340,163275,152923.33333333334,153905.83333333334,HOLD,0,,,443060,-6.31
2025-05-29,173800,180400,169300,179700,333657,171120,164600,153806.66666666666,154240.83333333334,HOLD,0,,,443060,-6.31
2025-05-30,180500,181400,175800,179800,200426,175020,165955,154583.33333333334,154639.16666666666,HOLD,0,,,443060,-6.31
2025-06-02,178300,181400,177600,179900,84011,177140,167300,155240,155027.5,HOLD,0,,,443060,-6.31
2025-06-04,180000,184500,174800,183300,226555,178880,168815,155878.33333333334,155468.33333333334,HOLD,0,,,443060,-6.31
2025-06-05,183000,185700,180300,182800,224972,181100,169975,156526.66666666666,155885,HOLD,0,,,443060,-6.31
2025-06-09,181100,181100,173500,177800,212545,180720,170215,157073.33333333334,156227.5,HOLD,0,,,443060,-6.31
2025-06-10,178000,185500,177800,185000,213772,181760,170975,157851.66666666666,156712.5,HOLD,0,,,443060,-6.31
2025-06-11,186400,198900,184300,198600,455396,185500,172745,158831.66666666666,157309.16666666666,HOLD,0,,,443060,-6.31
2025-06-12,199900,203000,194700,197100,415018,188260,174350,159788.33333333334,157917.5,HOLD,0,,,443060,-6.31
2025-06-13,197100,213500,197100,199800,511213,191660,175965,160740,158510,HOLD,0,,,443060,-6.31
2025-06-16,198200,203000,194900,201500,153361,196400,177705,161635,159052.5,HOLD,0,,,443060,-6.31
2025-06-17,202500,211000,201500,205500,172707,200500,179830,162468.33333333334,159620,HOLD,0,,,443060,-6.31
2025-06-18,203000,207500,200000,203500,173343,201480,181740,163375,160135,HOLD,0,,,443060,-6.31
2025-06-19,204000,208000,197200,207000,185494,203460,184120,164436.66666666666,160651.66666666666,HOLD,0,,,443060,-6.31
2025-06-20,209000,212000,203000,207500,219251,205000,186275,165516.66666666666,161171.66666666666,HOLD,0,,,443060,-6.31
2025-06-23,202000,209500,202000,208500,124214,206400,188660,166646.66666666666,161663.33333333334,HOLD,0,,,443060,-6.31
2025-06-24,210000,215000,204000,209500,124230,207200,191120,167730,162161.66666666666,HOLD,0,,,443060,-6.31
2025-06-25,208500,209500,199900,202000,164169,206900,192755,168731.66666666666,162495,HOLD,0,,,443060,-6.31
