date,open,high,low,close,volume,ma5,ma20,ma60,ma120,label,qty,order_price,order_type,stock_code,chart_return_pct
2025-03-27,22300,22500,20900,21100,1840280,22770,23862.5,22986,19193.666666666668,BUY,807,21100,시장가,082740,9.71
2025-03-28,21100,21400,20450,20950,1370726,22070,23762.5,23041.166666666668,19255.416666666668,HOLD,0,,,082740,9.71
2025-03-31,20300,21550,20300,21250,993223,21600,23692.5,23081.833333333332,19323.166666666668,HOLD,0,,,082740,9.71
2025-04-01,21800,22650,21700,22400,1021150,21580,23630,23143.166666666668,19397.666666666668,HOLD,0,,,082740,9.71
2025-04-02,22800,22900,21750,22500,909677,21640,23585,23210.833333333332,19473.5,HOLD,0,,,082740,9.71
2025-04-03,21900,22850,21750,22500,638798,21920,23510,23274.333333333332,19544,HOLD,0,,,082740,9.71
2025-04-04,22250,22900,21500,22250,906589,22180,23400,23339.666666666668,19605.166666666668,HOLD,0,,,082740,9.71
2025-04-07,21300,21450,20000,20000,923755,21930,23115,23362.333333333332,19647.583333333332,HOLD,0,,,082740,9.71
2025-04-08,20950,21900,20800,21800,971845,21810,22955,23404.166666666668,19703.333333333332,HOLD,0,,,082740,9.71
2025-04-09,22600,22650,21150,21400,895034,21590,22855,23396.666666666668,19760.25,HOLD,0,,,082740,9.71
2025-04-10,22900,22950,22250,22800,584422,21650,22810,23410.833333333332,19828.833333333332,HOLD,0,,,082740,9.71
2025-04-11,23100,24100,22950,23900,1685618,21980,22837.5,23435.833333333332,19896.833333333332,HOLD,0,,,082740,9.71
2025-04-14,24900,25400,24500,25200,1589397,23020,22912.5,23476.666666666668,19975.416666666668,SELL,807,25200,시장가,082740,9.71
