date,open,high,low,close,volume,ma5,ma20,ma60,ma120,label,qty,order_price,order_type,stock_code,chart_return_pct
2023-08-28,109400,115300,109000,115300,600855,110460,122695,105595,107520.83333333333,BUY,51,115300,시장가,277810,45.97
2023-08-29,116200,118900,113400,117700,465318,112220,122885,105810,107750,HOLD,0,,,277810,45.97
2023-08-30,118000,119800,115400,116600,507959,113900,122765,105965,107983.33333333333,HOLD,0,,,277810,45.97
2023-08-31,116600,151500,115500,151500,6053300,121780,124575,106640,108535,HOLD,0,,,277810,45.97
2023-09-01,155400,170800,155300,162800,8008123,132780,127150,107536.66666666667,109206.66666666667,HOLD,0,,,277810,45.97
2023-09-04,160300,174000,160100,162500,3471270,142220,128575,108425,109869.16666666667,HOLD,0,,,277810,45.97
2023-09-05,163000,178800,162700,175200,3814479,153720,130285,109643.33333333333,110686.66666666667,HOLD,0,,,277810,45.97
2023-09-06,172100,183700,165800,175500,3000205,165500,131835,110888.33333333333,111429.16666666667,HOLD,0,,,277810,45.97
2023-09-07,176000,199000,176000,190000,4218091,173200,134195,112403.33333333333,112076.66666666667,HOLD,0,,,277810,45.97
2023-09-08,190500,214000,186000,212000,4641087,183040,137895,114275,112837.5,SELL,51,212000,시장가,277810,45.97
2023-09-11,220000,242000,202000,212500,4986965,193040,141670,116163.33333333333,113585,HOLD,0,,,277810,45.97
2023-09-12,209500,214500,191800,195800,2886930,197160,144510,117796.66666666667,114119.16666666667,HOLD,0,,,277810,45.97
2023-09-13,194100,196500,186200,189000,1830163,199860,147905,119353.33333333333,114594.16666666667,HOLD,0,,,277810,45.97
2023-09-14,190400,201000,181900,198600,2191113,201580,151855,121121.66666666667,115058.33333333333,HOLD,0,,,277810,45.97
2023-09-15,197500,199000,180000,181800,2067863,195540,155245,122535,115415,HOLD,0,,,277810,45.97
2023-09-18,179000,185400,177200,178200,901082,188680,158600,123921.66666666667,115735.83333333333,HOLD,0,,,277810,45.97
2023-09-19,178200,179200,169700,172900,1003400,184100,161800,125253.33333333333,116028.33333333333,HOLD,0,,,277810,45.97
2023-09-20,176800,178800,168400,175000,1038895,181300,165140,126600,116364.16666666667,HOLD,0,,,277810,45.97
2023-09-21,172600,174600,164000,164000,791229,174380,167735,127786.66666666667,116585,BUY,51,164000,시장가,277810,45.97
2023-09-22,159400,175900,159300,166600,2054205,171340,170675,129045,116916.66666666667,HOLD,0,,,277810,45.97
2023-09-25,167200,169400,154600,164800,1061857,168660,173150,130263.33333333333,117247.5,HOLD,0,,,277810,45.97
2023-09-26,168000,173900,160100,164500,1041110,166980,175490,131428.33333333334,117618.33333333333,HOLD,0,,,277810,45.97
2023-09-27,162500,171900,160900,168600,797965,165700,178090,132655,118029.16666666667,HOLD,0,,,277810,45.97
2023-10-04,166900,166900,153500,155000,773651,163900,178265,133646.66666666666,118378.33333333333,HOLD,0,,,277810,45.97
2023-10-05,157800,158900,139500,142000,1234479,158980,177225,134476.66666666666,118565,HOLD,0,,,277810,45.97
2023-10-06,140300,144800,138500,139400,468527,153900,176070,135281.66666666666,118770,HOLD,0,,,277810,45.97
2023-10-10,139900,141000,133000,133800,618439,147760,174000,136018.33333333334,118897.5,HOLD,0,,,277810,45.97
2023-10-11,136900,137600,131400,132200,404245,140480,171835,136686.66666666666,119044.16666666667,HOLD,0,,,277810,45.97
2023-10-12,134300,144200,133500,142000,874312,137880,169435,137535,119296.66666666667,HOLD,0,,,277810,45.97
2023-10-13,140900,146000,136200,141200,568746,137720,165895,138381.66666666666,119550.83333333333,HOLD,0,,,277810,45.97
2023-10-16,138500,138800,131000,133800,511751,136600,161960,139088.33333333334,119737.5,BUY,51,133800,시장가,277810,45.97
