date,open,high,low,close,volume,ma5,ma20,ma60,ma120,label,qty,order_price,order_type,stock_code,chart_return_pct
2003-01-28,55700,58500,55700,58500,235100,59220,63940,68315,72298.33333333333,BUY,34,58500,시장가,000810,8.14
2003-01-29,59000,59900,57800,58500,314600,58740,63625,68096.66666666667,72120,HOLD,0,,,000810,8.14
2003-01-30,58800,61700,58700,60700,138100,58740,63335,67930,71960,HOLD,0,,,000810,8.14
2003-01-31,60700,60700,60700,60700,0,58880,62950,67741.66666666667,71788.33333333333,HOLD,0,,,000810,8.14
2003-02-03,62000,62100,60100,61800,129200,60040,62580,67640,71636.66666666667,HOLD,0,,,000810,8.14
2003-02-04,62400,63000,61600,63000,195600,60940,62380,67585,71474.16666666667,HOLD,0,,,000810,8.14
2003-02-05,62200,62200,60200,60300,149000,61300,62095,67500,71275.83333333333,HOLD,0,,,000810,8.14
2003-02-06,60000,61400,59000,59000,231500,60960,61845,67366.66666666667,71059.16666666667,HOLD,0,,,000810,8.14
2003-02-07,59100,60100,56500,57100,329200,60240,61460,67181.66666666667,70826.66666666667,HOLD,0,,,000810,8.14
2003-02-10,57000,59000,57000,58500,196800,59580,61095,67023.33333333333,70626.66666666667,HOLD,0,,,000810,8.14
2003-02-11,59800,60400,57600,60300,188600,59040,60810,66903.33333333333,70464.16666666667,HOLD,0,,,000810,8.14
2003-02-12,59900,59900,57800,59500,389400,58880,60515,66728.33333333333,70293.33333333333,HOLD,0,,,000810,8.14
2003-02-13,59500,59700,58100,58700,214900,58820,60230,66541.66666666667,70101.66666666667,HOLD,0,,,000810,8.14
2003-02-14,58200,58600,57000,57500,141000,58900,59905,66316.66666666667,69893.33333333333,HOLD,0,,,000810,8.14
2003-02-17,58700,60800,58700,60700,196000,59340,59740,66130,69699.16666666667,HOLD,0,,,000810,8.14
2003-02-18,60900,62200,60000,61600,232900,59600,59700,65953.33333333333,69514.16666666667,HOLD,0,,,000810,8.14
2003-02-19,62800,63900,61200,61300,357500,59960,59720,65795,69341.66666666667,HOLD,0,,,000810,8.14
2003-02-20,61400,62300,61100,62200,136800,60660,59795,65601.66666666667,69176.66666666667,HOLD,0,,,000810,8.14
2003-02-21,62000,62200,60500,61700,69000,61500,59880,65395,69007.5,SELL,34,61700,시장가,000810,8.14
2003-02-24,61700,63500,61700,63500,149200,62060,60255,65218.333333333336,68855,HOLD,0,,,000810,8.14
2003-02-25,62200,62900,60800,60800,105100,61900,60370,65008.333333333336,68674.16666666667,HOLD,0,,,000810,8.14
