date,open,high,low,close,volume,ma5,ma20,ma60,ma120,label,qty,order_price,order_type,stock_code,chart_return_pct
2015-07-15,4615.83984375,4734.39697265625,4418.24365234375,4465.6669921875,249475,4530.4783203125,4526.526391601563,4822.656705729167,5284.043086751302,BUY,223,4465.6669921875,시장가,082740,-0.83
2015-07-16,4441.955078125,4473.57080078125,4299.6865234375,4331.3017578125,421950,4517.8322265625,4531.268701171875,4799.208666992187,5271.989737955729,HOLD,0,,,082740,-0.83
2015-07-17,4323.39794921875,4323.39794921875,4030.955810546875,4157.41748046875,559487,4446.69775390625,4522.179296875,4773.78466796875,5258.1580281575525,HOLD,0,,,082740,-0.83
2015-07-20,4109.994140625,4157.41748046875,4007.244384765625,4094.1865234375,289289,4336.04404296875,4506.766821289062,4749.677970377604,5243.601798502604,HOLD,0,,,082740,-0.83
2015-07-21,4094.1865234375,4196.9365234375,4054.66748046875,4086.28271484375,267825,4226.97109375,4481.474536132812,4725.3078125,5228.913838704427,HOLD,0,,,082740,-0.83
2015-07-22,4062.5712890625,4141.609375,4054.66748046875,4125.8017578125,178436,4158.998046875,4458.158203125,4700.6741943359375,5213.698954264323,HOLD,0,,,082740,-0.83
2015-07-23,4141.609375,4149.51318359375,4023.052001953125,4046.763671875,171172,4102.0904296875,4426.54287109375,4675.118465169271,5195.91532796224,HOLD,0,,,082740,-0.83
2015-07-24,4015.148193359375,4062.5712890625,3924.254150390625,4015.148193359375,238248,4073.636572265625,4394.532336425781,4648.245422363281,5177.6706400553385,HOLD,0,,,082740,-0.83
2015-07-27,4015.148193359375,4173.22509765625,3983.532958984375,4023.052001953125,249041,4059.40966796875,4373.191967773438,4624.006990559896,5159.491817220052,HOLD,0,,,082740,-0.83
2015-07-28,4007.244384765625,4252.26318359375,3999.340576171875,4094.1865234375,479138,4060.9904296875,4355.803540039063,4600.558943684896,5143.684147135416,BUY,223,4094.1865234375,시장가,082740,-0.83
2015-07-28,4007.244384765625,4252.26318359375,3999.340576171875,4094.1865234375,479138,4060.9904296875,4355.803540039063,4600.558943684896,5143.684147135416,SELL,446,4094.1865234375,차트 전환(전량 청산),082740,-0.83
